OID_;LOCATION;LOC_LABEL;CATEGORY;PATTERN;PERC_HOT;PERC_COLD;TREND_Z;TREND_P;TREND_BIN;SUM_VALUE;MIN_VALUE;MAX_VALUE;MEAN_VALUE;STD_VALUE;MED_VALUE;Shape_Length;Shape_Area
1;0;410010;7;Oscillating Hot Spot;25,000000000000000;66,666666666666657;1,577168607044606;0,114756734314102;0,000000000000000;245,225893485125312;12,393538814062000;30,381494907647198;20,435491123760443;5,924254720605627;19,266369653771399;123825,423085246788105;270555571,781732797622681
2;1;410020;0;No Pattern Detected;0,000000000000000;0,000000000000000;-0,891443125720864;0,372691500240596;0,000000000000000;279,052643585479586;16,260162601626000;34,843205574912901;23,254386965456632;5,410344207493370;23,084682884515601;292375,370483208331279;1633051765,372346878051758
3;2;410030;-5;Diminishing Cold Spot;0,000000000000000;91,666666666666657;1,988603895838851;0,046744941055475;2,000000000000000;154,225192169762209;5,657388549445580;20,204061016264301;12,852099347480184;5,021273661742566;11,629681265663850;116441,749213982984656;237515024,232969820499420
4;3;410040;-4;Persistent Cold Spot;0,000000000000000;100,000000000000000;1,028588221985612;0,303673229364477;0,000000000000000;220,659559764159212;15,886609325936099;21,207614969806301;18,388296647013266;1,367231676538828;18,464643716364101;98713,856768428726355;237037354,809811115264893
5;4;410045;1;New Hot Spot;8,333333333333332;41,666666666666671;2,811474473427341;0,004931500366174;3,000000000000000;245,629392956724303;12,383048981838201;30,054644808743198;20,469116079727026;5,647070112289052;20,456342149012798;208263,861759956373135;468539837,281950354576111
6;5;410050;6;Sporadic Hot Spot;58,333333333333336;0,000000000000000;2,811474473427341;0,004931500366174;3,000000000000000;363,182436412784114;14,043065400561700;39,599833263859900;30,265203034398677;8,696674120031082;33,826293209434951;146563,791898448427673;789677637,137459039688110
7;6;410060;6;Sporadic Hot Spot;33,333333333333329;0,000000000000000;1,302878414515109;0,192616274331216;0,000000000000000;317,175812898112667;18,193395797325600;32,698695578097400;26,431317741509389;3,739943554864160;26,672288839087351;117151,778394067019690;480648707,937471866607666
8;7;410070;7;Oscillating Hot Spot;33,333333333333329;16,666666666666664;2,674329377162592;0,007487886814862;3,000000000000000;285,324398761180021;16,839847783728001;32,797450481660100;23,777033230098336;4,330476194936122;23,836072345737499;114519,185310772008961;535980176,667577266693115
9;8;410080;7;Oscillating Hot Spot;50,000000000000000;25,000000000000000;0,480007836926619;0,631221822134132;0,000000000000000;271,073819124916895;4,466507793141590;37,759044608359702;22,589484927076409;8,596432992826935;25,647159061810999;131684,878458506282186;498189105,339327931404114
10;9;410090;7;Oscillating Hot Spot;75,000000000000000;8,333333333333332;2,262894088368347;0,023642218909070;2,000000000000000;294,328166678232321;15,316541865214401;31,607227519359402;24,527347223186027;4,095236466144008;25,078074681212051;106043,141226314211963;453906849,696100056171417
11;10;410100;7;Oscillating Hot Spot;33,333333333333329;16,666666666666664;1,714313703309354;0,086471127773228;1,000000000000000;296,521336881112120;16,498184551743499;32,743548920063702;24,710111406759342;5,454141746866783;24,106386962697449;159035,549485348805320;367881159,067928969860077
12;11;410105;0;No Pattern Detected;0,000000000000000;58,333333333333336;1,988603895838851;0,046744941055475;2,000000000000000;220,963219178053720;9,341429238673520;33,569563595673301;18,413601598171145;6,298737757771239;17,992649909675102;72583,830867224882240;124255023,006133809685707
13;12;410110;7;Oscillating Hot Spot;25,000000000000000;50,000000000000000;1,851458799574103;0,064103576714211;1,000000000000000;226,899503306879012;10,642341315089300;29,297496974714999;18,908291942239916;6,088845778171383;18,191196172766652;101287,215635686254245;277908214,134005606174469
14;13;410115;1;New Hot Spot;8,333333333333332;33,333333333333329;1,302878414515109;0,192616274331216;0,000000000000000;219,394799238743303;13,174482659158400;24,621394264385401;18,282899936561943;2,928270531996152;17,824629246663100;63907,591338873287896;125199266,337443336844444
15;14;410120;-6;Sporadic Cold Spot;0,000000000000000;75,000000000000000;-1,028588221985612;0,303673229364477;0,000000000000000;231,674986064305557;7,873703507404370;24,936336794116901;19,306248838692131;4,364867690626638;20,384546441968251;178837,902213751804084;1088260073,810736417770386
16;15;410130;-7;Oscillating Cold Spot;8,333333333333332;58,333333333333336;2,125748992103599;0,033524165235725;2,000000000000000;248,437519212650102;10,068803490518500;31,972954707058399;20,703126601054176;6,043134034410587;19,752376730222949;178583,836656641535228;579493021,335925817489624
17;16;410140;6;Sporadic Hot Spot;75,000000000000000;0,000000000000000;0,617152933191367;0,537133860609483;0,000000000000000;319,677353645668290;20,527877459863198;33,736469678243203;26,639779470472359;4,342586027975090;26,790627776580749;218241,952076642890461;661511078,782174587249756
