POLY_ID,MUNIC_RES,Localidade,txsuav10k,IPDM,tx_remedio10k,cob_esf,tx_apac_densito10k,tx_quedas_100k,taxa%_plano_idoso,tx%alfabet_2022
1,410010,ABATIA,24.87352747,0.694,4.235134677,1.0,1.694053871,828.7142857,0.06710963455,0.687
2,410020,ADRIANOPOLIS,21.54904834,0.648,13.27257444,1.0,0.0,338.5,0.01431127013,0.6376
3,410030,AGUDOS DO SUL,15.09922489,0.6372,24.96789842,1.0,30.31816236,100.8166667,0.04132791328,0.8212
4,410040,ALMIRANTE TAMANDARE,19.24045957,0.6289,28.2654389,0.4232,27.82504254,339.2571429,0.113027249,0.8257
5,410045,ALTAMIRA DO PARANA,20.48816367,0.7467,0.0,1.0,201.2325494,1700.571429,0.05841924399,0.6728
6,410050,ALTONIA,34.37448299,0.7581,15.20223488,0.9513,63.21721435,616.8714286,0.002872875269,0.6475
7,410060,ALTO PARANA,27.15063279,0.6819,87.29369252,0.9469,20.30085873,928.3285714,0.1076742365,0.7626
8,410070,ALTO PIQUIRI,25.76583567,0.7071,49.42384359,1.0,54.61198187,486.2428571,0.03239740821,0.6483
9,410080,ALVORADA DO SUL,28.86695101,0.6939,9.506364627,1.0,10.43381483,665.5714286,0.04668741663,0.7761
10,410090,AMAPORA,26.49107972,0.7062,45.97701149,1.0,32.8407225,844.9428571,0.3527950311,0.768
11,410100,AMPERE,29.21153035,0.7901,15.65349021,0.9579,47.30450339,780.9,0.009495743287,0.6341
12,410105,ANAHY,21.62215988,0.7475,83.13242996,1.0,0.0,177.3,0.1738410596,0.8091
13,410110,ANDIRA,22.28329224,0.7193,0.0,1.0,1.239464551,792.6142857,0.009828009828,0.7252
14,410115,ANGULO,20.28294696,0.749,0.0,1.0,0.0,896.9166667,0.8557504873,0.7545
15,410120,ANTONINA,21.00180576,0.5896,25.04472272,1.0,42.21824687,521.5571429,0.01715893108,0.7378
16,410130,ANTONIO OLINTO,23.47006058,0.7128,30.76584991,0.9417,97.05893125,1106.3,0.2111352133,0.862
17,410140,APUCARANA,26.4528832,0.7784,18.05054152,1.0,15.27857202,770.1571429,0.0006695120931,0.8099
18,410150,ARAPONGAS,29.64800957,0.7831,12.16665193,0.8514,5.199423904,919.3285714,0.1639441346,0.8346
19,410160,ARAPOTI,25.761783,0.7549,21.74588381,0.8498,1.350676013,131.6571429,0.876436048,0.8533
20,410165,ARAPUA,33.06322876,0.7276,39.44773176,1.0,3.400666531,317.275,0.4807692308,0.7761
21,410170,ARARUNA,29.58026219,0.7756,33.20607651,1.0,163.0478008,1149.057143,0.007671653241,0.6814
22,410180,ARAUCARIA,17.87000993,0.8048,130.6155204,0.667,75.11435679,272.4714286,0.009667852906,0.7905
23,410185,ARIRANHA DO IVAI,28.94336692,0.7732,62.08609272,1.0,25.8692053,286.2,4.91350211,0.8591
24,410190,ASSAI,18.99468238,0.7491,40.09456567,1.0,16.77262707,1261.328571,0.002574831027,0.5855
25,410200,ASSIS CHATEAUBRIAND,18.9099959,0.7498,114.7728775,1.0,1.83577859,550.35,0.1128915837,0.8179
26,410210,ASTORGA,23.79411125,0.7677,22.02833864,1.0,1.442904278,874.9285714,0.2008562919,0.8125
27,410220,ATALAIA,25.3916897,0.7362,130.7457786,1.0,0.0,717.5,0.9771689498,0.8428
28,410230,BALSA NOVA,20.32121679,0.7029,17.9073932,1.0,25.58199028,168.54,0.1558301988,0.8272
29,410240,BANDEIRANTES,22.37385164,0.7465,14.66447677,0.7816,2.094925253,1349.542857,0.01906013802,0.8604
30,410250,BARBOSA FERRAZ,29.86603003,0.7203,24.02366629,1.0,140.9653146,790.3571429,0.34372502,0.8061
31,410260,BARRACAO,17.58503964,0.7514,14.31024614,1.0,2.862049227,796.2428571,0.1179347826,0.6426
32,410270,BARRA DO JACARE,26.84566029,0.6825,46.24990365,1.0,53.95822092,628.7,0.0494011976,0.7739
33,410275,BELA VISTA DA CAROBA,29.19541281,0.6986,0.0,1.0,25.82644628,657.9714286,0.1558109834,0.8046
34,410280,BELA VISTA DO PARAISO,26.85528638,0.7065,24.47869447,1.0,12.08824418,934.2428571,0.0002941176471,0.764
35,410290,BITURUNA,19.3442783,0.7252,70.80402965,1.0,142.558449,793.1857143,0.3549582947,0.7838
36,410300,BOA ESPERANCA,28.23085336,0.7852,31.74053555,1.0,294.3213296,1378.671429,0.09513023783,0.8045
37,410302,BOA ESPERANCA DO IGUACU,30.70781109,0.7731,47.04053667,1.0,12.27144435,1157.371429,0.337408313,0.6651
38,410304,BOA VENTURA DE SAO ROQUE,23.31343893,0.7278,116.2930827,1.0,123.5237407,1226.414286,0.002364066194,0.7117
39,410305,BOA VISTA DA APARECIDA,22.65854786,0.7393,31.99630558,0.8093,3.298588204,125.025,0.02051621443,0.6992
40,410310,BOCAIUVA DO SUL,18.93698842,0.6217,18.46210653,1.0,35.38570418,426.8428571,0.02283653846,0.7086
41,410315,BOM JESUS DO SUL,29.2190424,0.742,30.01112608,1.0,64.41412426,962.5571429,0.1306884481,0.7974
42,410320,BOM SUCESSO,29.71526857,0.7258,19.46953852,1.0,0.0,784.0428571,0.000872600349,0.7113
43,410322,BOM SUCESSO DO SUL,26.54446525,0.754,53.8141994,1.0,200.1510574,784.5857143,0.08,0.7072
44,410330,BORRAZOPOLIS,35.40040609,0.7396,17.88908766,1.0,0.0,772.3714286,0.01604621309,0.8371
45,410335,BRAGANEY,23.68172342,0.7652,26.79254912,1.0,0.0,106.5,0.07939698492,0.7623
46,410337,BRASILANDIA DO SUL,30.97739401,0.657,60.98111844,1.0,58.7225585,619.3142857,0.2263450835,0.7028
47,410340,CAFEARA,24.47651059,0.7662,16.19345784,1.0,21.59127712,1234.885714,0.01046025105,0.6674
48,410345,CAFELANDIA,20.79653707,0.8229,36.17536006,1.0,0.0,68.26666667,0.009880609304,0.625
49,410347,CAFEZAL DO SUL,36.39131501,0.7227,30.63655963,1.0,116.3054578,449.9142857,0.5068493151,0.786
50,410350,CALIFORNIA,28.27363076,0.7365,26.95244818,0.8504,1.604312392,610.5571429,0.00624609619,0.6634
51,410360,CAMBARA,29.08042917,0.7094,8.60115801,0.7547,27.79642527,243.3285714,0.01856763926,0.7384
52,410370,CAMBE,23.86654006,0.7629,28.38986501,1.0,86.34899596,1047.471429,0.02949033016,0.8409
53,410380,CAMBIRA,28.76773585,0.8152,21.66955594,1.0,1.666888919,789.5571429,2.108556833,0.8208
54,410390,CAMPINA DA LAGOA,28.40937536,0.7105,11.62340178,1.0,110.0700926,744.6285714,0.04542278127,0.777
55,410395,CAMPINA DO SIMAO,20.03938301,0.6895,109.5966108,0.5651,170.3812857,851.8571429,0.564516129,0.757
56,410400,CAMPINA GRANDE DO SUL,20.45842763,0.7168,18.51439671,1.0,24.78703385,810.4571429,0.0007580064431,0.7663
57,410405,CAMPO BONITO,22.00045824,0.7692,38.79878948,1.0,0.0,206.3666667,0.7174254317,0.8362
58,410410,CAMPO DO TENENTE,19.91667312,0.6694,52.77897458,0.7407,35.00646273,181.425,0.02066115702,0.6732
59,410420,CAMPO LARGO,20.76097059,0.759,31.81073789,0.9528,5.596333518,107.7428571,0.001552708923,0.8555
60,410425,CAMPO MAGRO,19.34506931,0.6971,21.22015915,0.774,18.42027704,303.4714286,0.7023319616,0.8764
61,410430,CAMPO MOURAO,28.64221712,0.8159,12.85465973,1.0,390.9270556,1216.214286,0.02699478938,0.8178
62,410440,CANDIDO DE ABREU,26.62409502,0.5996,0.0,1.0,6.965035522,464.3,1.255319149,0.8177
63,410442,CANDOI,18.67872627,0.7287,12.25430126,1.0,84.55467869,598.9285714,0.01947148818,0.6467
64,410445,CANTAGALO,20.9331473,0.6767,11.829653,1.0,89.37960042,272.4142857,0.02959183673,0.7306
65,410450,CAPANEMA,31.60734627,0.7832,19.19178267,1.0,15.5426409,860.8142857,0.007142857143,0.7684
66,410460,CAPITAO LEONIDAS MARQUES,22.86627586,0.7655,18.39720004,0.7236,0.0,78.86666667,0.06573913043,0.8683
67,410465,CARAMBEI,27.03029115,0.7893,10.61594442,0.7329,1.098201147,137.7333333,0.06505728314,0.7591
