Municipio,MUNIC_RES,ANO_CMPT,pop_ac60,n_densito,tx_densito10k,data
ABATIA,410010,2010,1121,0,0,01/01/2010
ADRIANOPOLIS,410020,2010,931,0,0,01/01/2010
AGUDOS DO SUL,410030,2010,994,0,0,01/01/2010
ALMIRANTE TAMANDARE,410040,2010,7321,0,0,01/01/2010
ALTAMIRA DO PARANA,410045,2010,567,0,0,01/01/2010
ALTONIA,410050,2010,3217,0,0,01/01/2010
ALTO PARANA,410060,2010,1740,0,0,01/01/2010
ALTO PIQUIRI,410070,2010,1485,0,0,01/01/2010
ALVORADA DO SUL,410080,2010,1444,1,6.92520775623269,01/01/2010
AMAPORA,410090,2010,500,0,0,01/01/2010
AMPERE,410100,2010,2008,0,0,01/01/2010
ANAHY,410105,2010,449,0,0,01/01/2010
ANDIRA,410110,2010,3048,0,0,01/01/2010
ANGULO,410115,2010,389,0,0,01/01/2010
ANTONINA,410120,2010,2692,0,0,01/01/2010
ANTONIO OLINTO,410130,2010,1028,0,0,01/01/2010
APUCARANA,410140,2010,15189,0,0,01/01/2010
ARAPONGAS,410150,2010,12466,0,0,01/01/2010
ARAPOTI,410160,2010,2481,0,0,01/01/2010
ARAPUA,410165,2010,607,0,0,01/01/2010
ARARUNA,410170,2010,1743,0,0,01/01/2010
ARAUCARIA,410180,2010,8814,0,0,01/01/2010
ARIRANHA DO IVAI,410185,2010,414,0,0,01/01/2010
ASSAI,410190,2010,2533,0,0,01/01/2010
ASSIS CHATEAUBRIAND,410200,2010,5091,0,0,01/01/2010
ASTORGA,410210,2010,3624,0,0,01/01/2010
ATALAIA,410220,2010,624,0,0,01/01/2010
BALSA NOVA,410230,2010,1137,0,0,01/01/2010
BANDEIRANTES,410240,2010,4412,0,0,01/01/2010
BARBOSA FERRAZ,410250,2010,2089,0,0,01/01/2010
BARRACAO,410260,2010,1160,0,0,01/01/2010
BARRA DO JACARE,410270,2010,462,3,64.9350649350649,01/01/2010
BELA VISTA DA CAROBA,410275,2010,589,0,0,01/01/2010
BELA VISTA DO PARAISO,410280,2010,2436,4,16.4203612479475,01/01/2010
BITURUNA,410290,2010,1463,40,273.410799726589,01/01/2010
BOA ESPERANCA,410300,2010,683,0,0,01/01/2010
BOA ESPERANCA DO IGUACU,410302,2010,303,0,0,01/01/2010
BOA VENTURA DE SAO ROQUE,410304,2010,595,5,84.0336134453782,01/01/2010
BOA VISTA DA APARECIDA,410305,2010,1159,0,0,01/01/2010
BOCAIUVA DO SUL,410310,2010,1181,0,0,01/01/2010
BOM JESUS DO SUL,410315,2010,615,0,0,01/01/2010
BOM SUCESSO,410320,2010,885,0,0,01/01/2010
BOM SUCESSO DO SUL,410322,2010,489,0,0,01/01/2010
BORRAZOPOLIS,410330,2010,1361,0,0,01/01/2010
BRAGANEY,410335,2010,789,0,0,01/01/2010
BRASILANDIA DO SUL,410337,2010,505,0,0,01/01/2010
CAFEARA,410340,2010,371,3,80.8625336927224,01/01/2010
CAFELANDIA,410345,2010,1230,0,0,01/01/2010
CAFEZAL DO SUL,410347,2010,711,0,0,01/01/2010
CALIFORNIA,410350,2010,1143,0,0,01/01/2010
CAMBARA,410360,2010,3494,4,11.4481969089868,01/01/2010
CAMBE,410370,2010,11493,95,82.6590098320717,01/01/2010
CAMBIRA,410380,2010,1008,0,0,01/01/2010
CAMPINA DA LAGOA,410390,2010,2185,0,0,01/01/2010
CAMPINA DO SIMAO,410395,2010,379,0,0,01/01/2010
CAMPINA GRANDE DO SUL,410400,2010,2971,0,0,01/01/2010
CAMPO BONITO,410405,2010,527,0,0,01/01/2010
CAMPO DO TENENTE,410410,2010,640,0,0,01/01/2010
CAMPO LARGO,410420,2010,10670,0,0,01/01/2010
CAMPO MAGRO,410425,2010,2024,0,0,01/01/2010
CAMPO MOURAO,410430,2010,9924,176,177.347843611447,01/01/2010
CANDIDO DE ABREU,410440,2010,2049,0,0,01/01/2010
CANDOI,410442,2010,1324,8,60.4229607250755,01/01/2010
CANTAGALO,410445,2010,1319,1,7.58150113722517,01/01/2010
CAPANEMA,410450,2010,2722,0,0,01/01/2010
CAPITAO LEONIDAS MARQUES,410460,2010,1911,0,0,01/01/2010
CARAMBEI,410465,2010,1423,0,0,01/01/2010
CARLOPOLIS,410470,2010,1879,14,74.5077168706759,01/01/2010
CASCAVEL,410480,2010,26061,0,0,01/01/2010
CASTRO,410490,2010,6526,0,0,01/01/2010
CATANDUVAS,410500,2010,1158,0,0,01/01/2010
CENTENARIO DO SUL,410510,2010,1602,3,18.7265917602996,01/01/2010
CERRO AZUL,410520,2010,1866,0,0,01/01/2010
CEU AZUL,410530,2010,1497,0,0,01/01/2010
CHOPINZINHO,410540,2010,2447,12,49.0396403759706,01/01/2010
CIANORTE,410550,2010,8278,47,56.7769992751873,01/01/2010
CIDADE GAUCHA,410560,2010,1255,0,0,01/01/2010
CLEVELANDIA,410570,2010,2189,6,27.4097761534948,01/01/2010
COLOMBO,410580,2010,15696,1,0.63710499490316,01/01/2010
COLORADO,410590,2010,3023,0,0,01/01/2010
CONGONHINHAS,410600,2010,1214,0,0,01/01/2010
CONSELHEIRO MAIRINCK,410610,2010,528,0,0,01/01/2010
CONTENDA,410620,2010,1723,0,0,01/01/2010
CORBELIA,410630,2010,2030,0,0,01/01/2010
CORNELIO PROCOPIO,410640,2010,6894,0,0,01/01/2010
CORONEL DOMINGOS SOARES,410645,2010,595,0,0,01/01/2010
CORONEL VIVIDA,410650,2010,3017,8,26.5164070268479,01/01/2010
CORUMBATAI DO SUL,410655,2010,629,0,0,01/01/2010
CRUZEIRO DO IGUACU,410657,2010,535,0,0,01/01/2010
CRUZEIRO DO OESTE,410660,2010,3054,0,0,01/01/2010
CRUZEIRO DO SUL,410670,2010,582,0,0,01/01/2010
CRUZ MACHADO,410680,2010,1960,1,5.10204081632653,01/01/2010
CRUZMALTINA,410685,2010,465,0,0,01/01/2010
CURITIBA,410690,2010,200895,15,0.746658702307176,01/01/2010
CURIUVA,410700,2010,1701,0,0,01/01/2010
DIAMANTE DO NORTE,410710,2010,872,0,0,01/01/2010
DIAMANTE DO SUL,410712,2010,397,0,0,01/01/2010
DIAMANTE D'OESTE,410715,2010,667,0,0,01/01/2010
DOIS VIZINHOS,410720,2010,3732,0,0,01/01/2010
DOURADINA,410725,2010,982,0,0,01/01/2010
DOUTOR CAMARGO,410730,2010,1062,0,0,01/01/2010
ENEAS MARQUES,410740,2010,800,0,0,01/01/2010
ENGENHEIRO BELTRAO,410750,2010,1852,0,0,01/01/2010
ESPERANCA NOVA,410752,2010,380,0,0,01/01/2010
ENTRE RIOS DO OESTE,410753,2010,514,0,0,01/01/2010
